Date (America/New_York),Practice set,Track,Question,Topic,Result
2026-08-08,network-ipv4,Networking foundation,1,DNS,Incorrect
2026-08-08,network-ipv4,Networking foundation,2,DNS troubleshooting,Correct
2026-08-08,network-ipv4,Networking foundation,3,DHCP,Incorrect
2026-08-08,network-ipv4,Networking foundation,4,DHCP reinforcement,Correct
2026-08-08,network-ipv4,Networking foundation,5,ARP,Correct
2026-08-08,network-ipv4,Networking foundation,6,IP and MAC OSI layers,Incorrect
2026-08-09,network-ipv4,Networking foundation,7,Switching,Correct
2026-08-09,network-ipv4,Networking foundation,8,Routing,Correct
2026-08-09,network-ipv4,Networking foundation,9,Default gateway,Correct
2026-08-09,network-ipv4,Networking foundation,10,Missing gateway,Correct
2026-08-09,network-ipv4,Networking foundation,11,Local vs remote subnet,Correct
2026-08-09,network-ipv4,Networking foundation,12,IPv4 /24,Correct
2026-08-09,network-ipv4,Networking foundation,13,IPv4 multiple hosts,Correct
2026-08-09,network-ipv4,Networking foundation,14,IPv4 bit length,Incorrect
2026-08-09,network-ipv4,Networking foundation,15,Host bits,Correct
2026-08-09,network-ipv4,Networking foundation,16,Subnet masks,Correct
2026-08-09,network-ipv4,Networking foundation,17,IPv4 /16,Correct
2026-08-09,network-ipv4,Networking foundation,18,IPv4 /8,Correct
2026-08-09,network-ipv4,Networking foundation,19,Three subnet matches,Correct
2026-08-09,network-ipv4,Networking foundation,20,Network address,Incorrect
2026-08-09,network-ipv4,Networking foundation,21,Broadcast address,Correct
2026-08-09,network-ipv4,Networking foundation,22,Valid host address,Incorrect
2026-08-11,network-ipv6,Networking foundation,1,IPv6 /64 subnet,Incorrect
2026-08-11,network-ipv6,Networking foundation,2,IPv6 subnet reinforcement,Correct
2026-08-11,network-ipv6,Networking foundation,3,NDP vs ARP,Correct
2026-08-11,network-ipv6,Networking foundation,4,IPv6 compression,Correct
2026-08-11,network-ipv6,Networking foundation,5,IPv6 expansion,Correct
2026-08-11,network-ipv6,Networking foundation,6,IPv6 loopback,Incorrect
2026-08-11,network-ipv6,Networking foundation,7,Loopback test,Correct
2026-08-11,network-ipv6,Networking foundation,8,Link-local address,Correct
2026-08-11,network-ipv6,Networking foundation,9,Link-local scope,Correct
2026-08-11,network-ipv6,Networking foundation,10,Global unicast example,Correct
2026-08-11,network-ipv6,Networking foundation,11,Unicast,Correct
2026-08-11,network-ipv6,Networking foundation,12,Multicast,Correct
2026-08-11,network-ipv6,Networking foundation,13,IPv6 troubleshooting,Correct
2026-08-11,network-ipv6,Networking foundation,14,Routing OSI layer,Correct
2026-08-11,network-ipv6,Networking foundation,15,TCP/UDP OSI layer,Correct
2026-08-12,network-ipv6,Networking foundation,16,Blocked TCP 443,Correct
2026-08-12,network-ipv6,Networking foundation,17,Physical OSI layer,Correct
2026-08-12,network-ipv6,Networking foundation,18,Switch OSI layer,Correct
2026-08-12,network-ipv6,Networking foundation,19,Gateway OSI layer,Correct
2026-08-12,network-ipv6,Networking foundation,20,DNS troubleshooting,Correct
2026-08-12,security-domain1,Security+,1,Confidentiality,Correct
2026-08-13,security-domain1,Security+,2,Integrity,Correct
2026-08-13,security-domain1,Security+,3,Availability,Correct
2026-08-13,security-domain1,Security+,4,Authentication vs authorization,Correct
2026-08-13,security-domain1,Security+,5,Accounting,Correct
2026-08-13,security-domain1,Security+,6,MFA,Correct
2026-08-13,security-domain1,Security+,7,MFA factor categories,Correct
2026-08-13,security-domain1,Security+,8,Least privilege,Correct
2026-08-13,security-domain1,Security+,9,Separation of duties,Correct
2026-08-14,security-domain1,Security+,10,Change management,Incorrect
2026-08-14,security-domain1,Security+,11,Risk acceptance,Incorrect
2026-08-14,security-domain1,Security+,12,Risk transfer,Correct
2026-08-14,security-domain1,Security+,13,Risk mitigation,Correct
